what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1318031057198
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1318031057198
java.version,sysinfo,,,"1.6.0_14",1318031057198
java.vm.info,sysinfo,,,"mixed mode",1318031057198
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1318031057198
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318031057198
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318031057198
java.vm.specification.version,sysinfo,,,"1.0",1318031057198
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1318031057198
java.vm.version,sysinfo,,,"14.0-b16",1318031057198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318031069329
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1318031079119
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1318031079391
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1318031079396
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1318031079413
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1318031079914
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1318031079934
error,log,,,"Unable to read C:\\AndroidManifest.xml: java.io.FileNotFoundException: C:\\AndroidManifest.xml (The system cannot find the file specified)",1318031117415
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318031117504
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1318031117526
error,log,,,"Unable to read C:\\AndroidManifest.xml: java.io.FileNotFoundException: C:\\AndroidManifest.xml (The system cannot find the file specified)",1318031117531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318031128237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1318031128250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318031132532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318031135673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318031139396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318031187489
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1318031187499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318031192377
error,log,,,"Failed to load properties file for project 'myAppTest'",1318031255314
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1318031255529
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1318031255570
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1318031256134
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1318031256213
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1318031256251
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1318031256714
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1318031256725
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1318031256788
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1318031256791
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1318031256917
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1318031257188
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1318031257466
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1318031257499
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1318031257502
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1318031257570
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1318031257736
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1318031257740
started,bundle,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.ui",1318031257898
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1318031257904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318031258927
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1318031260482
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1318031260508
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1318031260529
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318031260989
opened,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1318031263322
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1318031263388
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1318031263437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1318031263716
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1318031269990
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1318031281161
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318031281416
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1318031281883
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1318031282042
