what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1318029364226
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1318029364273
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1318029364281
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1318029364324
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1318029365731
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1318029365750
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1318029365777
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1318029393136
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,com.android.ide.eclipse.ddms,1318029401379
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,com.android.ide.eclipse.adt,1318029401425
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1318029401813
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1318029401826
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1318029417467
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1318029417484
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1318029424163
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1318030053893
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1318030060743
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1318030072260
started,bundle,org.eclipse.ecf.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.filetransfer,1318030072737
started,bundle,org.eclipse.ecf.provider.filetransfer,2.0.0.v20080611-1715,org.eclipse.ecf.provider.filetransfer,1318030072760
started,bundle,org.eclipse.ecf.identity,2.0.0.v20080611-1715,org.eclipse.ecf.identity,1318030072772
started,bundle,org.eclipse.ecf,2.0.0.v20080611-1715,org.eclipse.ecf,1318030072888
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.4.v20081027-2115,org.eclipse.equinox.p2.extensionlocation,1318030077574
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.1.R34x_v20080808-1156,org.eclipse.equinox.p2.updatesite,1318030077592
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.4.v20080930,org.eclipse.equinox.p2.artifact.repository,1318030078090
